Find beacons place tool, version  1.0.0
Windows
C:\Users\vpentyukhov\Development\InvenSenseInc\Gift\Tools\proximity_beacons_place_finding
major,  minor,  ble_prox_hash,  x_calc,  y_calc,  x_expected,  y_expected,  distance,  iter_number,  number of ceils
 34199 ,   59706 ,  2241325370 ,  51.482485093980735 ,  56.091261485214744 ,  95.62128875209734 ,  63.4685282652701 ,  44.75106762429112 ,  31 ,  8
 34845 ,   764 ,  2283602684 ,  105.26459267932485 ,  35.39624518744313 ,  104.30922875545845 ,  34.497146650014095 ,  1.3119064017804136 ,  11 ,  1
 40312 ,   19417 ,  2641906649 ,  54.428308839881424 ,  53.12201422756576 ,  82.17569596738691 ,  52.69211947008433 ,  27.75071714219594 ,  19 ,  6
 40602 ,   55229 ,  2660947901 ,  63.17614203850905 ,  75.13991321319789 ,  74.80643660812873 ,  34.54414638156863 ,  42.228900487984944 ,  17 ,  1
 41182 ,   24937 ,  2698928489 ,  82.36363253696547 ,  3.1119536068010363 ,  73.66731506617097 ,  36.10812345627106 ,  34.1229125704111 ,  200 ,  2
 42247 ,   9853 ,  2768709245 ,  84.07770310627072 ,  55.04606334344982 ,  94.20893094224726 ,  34.49719140807527 ,  22.91065069527468 ,  29 ,  4
 42472 ,   43023 ,  2783488015 ,  74.75461131153502 ,  47.29193557307907 ,  88.73182637288188 ,  34.434858099444114 ,  18.991234347303315 ,  28 ,  7
 42580 ,   22241 ,  2790545121 ,  96.635373712009 ,  45.448499560154005 ,  114.73541391212268 ,  34.48638354545848 ,  21.160799672162096 ,  28 ,  4
 43907 ,   3532 ,  2877492684 ,  45.72646193279909 ,  51.35772577080935 ,  112.55907719785914 ,  62.156465632443144 ,  67.69941835619251 ,  165 ,  7
 45741 ,   41589 ,  2997723765 ,  67.1081069156829 ,  34.5200654065853 ,  67.40768147145242 ,  36.46086322591274 ,  1.9637823428197532 ,  12 ,  1
 46313 ,   35794 ,  3035204562 ,  64.11939750220401 ,  35.33690808562056 ,  98.1313318670315 ,  27.75999991433042 ,  34.84567715906088 ,  60 ,  3
 46901 ,   37831 ,  3073741767 ,  64.53344205115091 ,  59.951920435954555 ,  63.07004315469638 ,  59.48272219006284 ,  1.5367769272383733 ,  11 ,  3
 49683 ,   54255 ,  3256079343 ,  122.0947416339511 ,  38.301544048565304 ,  115.91853371095111 ,  34.480602293446836 ,  7.2625849533162565 ,  27 ,  4
 50363 ,   994 ,  3300590562 ,  99.38603086193929 ,  75.86650296185924 ,  111.24395487264435 ,  62.15663144297467 ,  18.126525836684145 ,  200 ,  2
 52081 ,   45746 ,  3413226162 ,  78.24187902981407 ,  51.042934435819525 ,  82.14281298290332 ,  34.49114553999444 ,  17.00526393086338 ,  141 ,  5
 52846 ,   58146 ,  3463373602 ,  53.90172334769679 ,  35.82594424333058 ,  77.5102485395391 ,  49.2422741167195 ,  27.15438029131656 ,  69 ,  5
 55347 ,   6203 ,  3627227195 ,  37.48416057522236 ,  27.41774311592802 ,  70.72015109321015 ,  49.329163450042955 ,  39.80881066761527 ,  28 ,  5
 55421 ,   44672 ,  3632115328 ,  66.41480798400377 ,  20.467304147910887 ,  49.35796955259789 ,  27.987172074303377 ,  18.64092677163534 ,  200 ,  5
 55776 ,   56603 ,  3655392539 ,  119.27001228499523 ,  49.99807880628668 ,  102.27315369635863 ,  37.654191050630246 ,  21.00630302567195 ,  200 ,  3
 56955 ,   63250 ,  3732666130 ,  122.5176782007325 ,  47.01773654495926 ,  113.98251763286346 ,  27.685712967343893 ,  21.13234727910705 ,  30 ,  7
 57682 ,   19589 ,  3780267141 ,  116.28880653773123 ,  37.09744926126526 ,  111.35044513995096 ,  20.138164468543817 ,  17.663656302581273 ,  65 ,  7
 58589 ,   34273 ,  3839722977 ,  76.48624413863473 ,  35.23998681852653 ,  95.5234965775632 ,  34.482133745401434 ,  19.052331135688693 ,  50 ,  4
 58844 ,   62778 ,  3856463162 ,  35.92946240005664 ,  43.046188741066764 ,  87.46945378557444 ,  63.46951466763449 ,  55.43900210070581 ,  156 ,  9
 58970 ,   38042 ,  3864695962 ,  44.450495669355874 ,  51.94687099410988 ,  84.21937005623955 ,  63.35315325125302 ,  41.37229320365686 ,  27 ,  10
 59736 ,   4249 ,  3914862745 ,  60.1737139806202 ,  76.3915240605263 ,  60.19555677805752 ,  76.38246841149818 ,  0.023645561511799182 ,  6 ,  1
 61901 ,   15483 ,  4056759419 ,  60.46633539966068 ,  57.38863203619774 ,  81.18562345279162 ,  74.88547145061169 ,  27.118781073684044 ,  29 ,  5
 62401 ,   57498 ,  4089569434 ,  63.49278004096556 ,  74.86187156214811 ,  80.29322103524329 ,  30.217822199159052 ,  47.70058659101805 ,  17 ,  1
